vertex,U,gamma_PPN,beta_PPN,c_eff,delta_S
63,0.072540,1.037635,0.500000,0.866717,0.153779
64,0.020877,1.010548,0.500000,0.959301,0.042425
65,0.013416,1.006753,0.500000,0.973609,0.027107
66,0.026484,1.013420,0.500000,0.948715,0.054057
67,0.065978,1.034115,0.500000,0.877894,0.139090
68,0.026711,1.013536,0.500000,0.948289,0.054531
69,0.041570,1.021226,0.500000,0.920912,0.085880
70,0.015443,1.007781,0.500000,0.969697,0.031250
71,0.032810,1.016679,0.500000,0.936937,0.067307
72,0.050416,1.025860,0.500000,0.905051,0.104910
73,0.047498,1.024327,0.500000,0.910247,0.098603
74,0.079407,1.041345,0.500000,0.855186,0.169336
75,0.066521,1.034405,0.500000,0.876964,0.140297
76,0.063501,1.032791,0.500000,0.882156,0.133587
77,0.012099,1.006086,0.500000,0.976162,0.024421
78,0.095227,1.049994,0.500000,0.829246,0.205915
79,0.032121,1.016322,0.500000,0.938212,0.065857
80,0.008172,1.004103,0.500000,0.983820,0.016446
81,0.080166,1.041757,0.500000,0.853922,0.171066
82,0.043872,1.022428,0.500000,0.916754,0.090805
83,0.070584,1.036583,0.500000,0.870031,0.149384
84,0.061654,1.031808,0.500000,0.885347,0.129501
85,0.020320,1.010264,0.500000,0.960360,0.041277
86,0.082372,1.042955,0.500000,0.850259,0.176112
87,0.007448,1.003738,0.500000,0.985241,0.014980
88,0.065877,1.034060,0.500000,0.878068,0.138864
89,0.029945,1.015200,0.500000,0.942249,0.061291
90,0.059566,1.030697,0.500000,0.888972,0.124895
91,0.067361,1.034855,0.500000,0.875525,0.142172
92,0.039797,1.020302,0.500000,0.924130,0.082099
93,0.043271,1.022114,0.500000,0.917838,0.089517
94,0.094598,1.049647,0.500000,0.830262,0.204439
95,0.071510,1.037081,0.500000,0.868462,0.151461
96,0.084240,1.043972,0.500000,0.847171,0.180399
97,0.065481,1.033849,0.500000,0.878748,0.137983
98,0.080763,1.042081,0.500000,0.852929,0.172430
99,0.086884,1.045415,0.500000,0.842821,0.186492
100,0.091075,1.047710,0.500000,0.835972,0.196213
101,0.041588,1.021236,0.500000,0.920879,0.085919
102,0.045165,1.023104,0.500000,0.914428,0.093580
103,0.044528,1.022771,0.500000,0.915574,0.092212
104,0.043798,1.022389,0.500000,0.916888,0.090646
105,0.062737,1.032384,0.500000,0.883474,0.131895
106,0.064138,1.033132,0.500000,0.881057,0.135000
107,0.036250,1.018460,0.500000,0.930605,0.074569
108,0.039460,1.020127,0.500000,0.924743,0.081382
109,0.086071,1.044971,0.500000,0.844155,0.184617
110,0.036403,1.018539,0.500000,0.930325,0.074893
111,0.058380,1.030067,0.500000,0.891038,0.122287
112,0.035555,1.018099,0.500000,0.931881,0.073098
113,0.061868,1.031921,0.500000,0.884977,0.129973
114,0.032265,1.016397,0.500000,0.937945,0.066161
115,0.081030,1.042226,0.500000,0.852485,0.173041
116,0.020621,1.010418,0.500000,0.959787,0.041897
117,0.084903,1.044334,0.500000,0.846078,0.181925
118,0.017589,1.008873,0.500000,0.965574,0.035654
119,0.049077,1.025156,0.500000,0.907432,0.102011
120,0.016900,1.008522,0.500000,0.966895,0.034238
121,0.059888,1.030868,0.500000,0.888412,0.125604
122,0.084717,1.044232,0.500000,0.846384,0.181497
123,0.043161,1.022057,0.500000,0.918036,0.089282
124,0.071669,1.037166,0.500000,0.868191,0.151820
125,0.068479,1.035454,0.500000,0.873615,0.144669
126,0.019852,1.010025,0.500000,0.961252,0.040310
127,0.091129,1.047740,0.500000,0.835885,0.196337
128,0.052062,1.026727,0.500000,0.902134,0.108483
129,0.053675,1.027577,0.500000,0.899287,0.111992
130,0.042766,1.021850,0.500000,0.918750,0.088436
131,0.066417,1.034349,0.500000,0.877141,0.140067
132,0.077205,1.040152,0.500000,0.858866,0.164326
133,0.060376,1.031128,0.500000,0.887563,0.126680
134,0.053601,1.027538,0.500000,0.899417,0.111831
135,0.077978,1.040571,0.500000,0.857571,0.166084
136,0.024749,1.012530,0.500000,0.951975,0.050448
137,0.035060,1.017843,0.500000,0.932790,0.072052
138,0.051149,1.026246,0.500000,0.903750,0.106500
139,0.077166,1.040132,0.500000,0.858930,0.164239
140,0.058759,1.030269,0.500000,0.890376,0.123121
141,0.052312,1.026859,0.500000,0.901692,0.109027
142,0.029980,1.015218,0.500000,0.942185,0.061363
143,0.096435,1.050660,0.500000,0.827300,0.208751
144,0.028493,1.014453,0.500000,0.944955,0.058252
145,0.076035,1.039520,0.500000,0.860827,0.161673
