system_id,ell,obs_dx,obs_dy,sigma_grad_x,sigma_grad_y,sigma,mv_nlkk,pp_nlkk
L00030,234,-1.294887024,-1.355530806,-1.294887024,-1.355530806,0.201819313,5.627601745980e-07,5.186177591018e-06
L00031,242,-1.254645984,-1.312493154,-1.254645984,-1.312493154,0.201735415,5.790382308637e-07,5.517886547790e-06
L00032,250,-1.216593872,-1.266558454,-1.216593872,-1.266558454,0.201498937,5.948637372869e-07,5.895363815613e-06
L00033,258,-1.178456059,-1.223394608,-1.178456059,-1.223394608,0.201348156,6.111588788338e-07,6.273572829123e-06
L00034,266,-1.141279907,-1.181490797,-1.141279907,-1.181490797,0.201206327,6.274726660822e-07,6.663938316402e-06
L00035,274,-1.106463797,-1.140156118,-1.106463797,-1.140156118,0.201010770,6.431454664967e-07,7.072792716011e-06
L00036,282,-1.078688081,-1.103384165,-1.078688081,-1.103384165,0.200740883,6.559292292430e-07,7.457552891824e-06
L00037,290,-1.051376181,-1.072009238,-1.051376181,-1.072009238,0.200618992,6.687472666174e-07,7.802346722715e-06
L00038,298,-1.026754029,-1.042181753,-1.026754029,-1.042181753,0.200462832,6.805175117030e-07,8.144905168220e-06
L00039,306,-1.007388938,-1.014650760,-1.007388938,-1.014650760,0.200217855,6.899200542926e-07,8.474421845314e-06
L00040,314,-0.991981646,-0.988535976,-0.991981646,-0.988535976,0.200103370,6.974936361681e-07,8.799299716653e-06
L00041,322,-0.974765145,-0.965322324,-0.974765145,-0.965322324,0.200283285,7.060549474077e-07,9.098527785449e-06
L00042,330,-0.959354412,-0.946597686,-0.959354412,-0.946597686,0.200382702,7.138073901813e-07,9.347289770858e-06
L00043,338,-0.949920357,-0.929940946,-0.949920357,-0.929940946,0.200599382,7.185951814640e-07,9.574289618639e-06
L00044,346,-0.941770518,-0.917980353,-0.941770518,-0.917980353,0.200713705,7.227570781911e-07,9.740682624359e-06
L00045,354,-0.933830700,-0.909579200,-0.933830700,-0.909579200,0.200727545,7.268349022402e-07,9.859283508370e-06
L00046,362,-0.931715164,-0.900505912,-0.931715164,-0.900505912,0.200936278,7.279253006655e-07,9.988995567488e-06
L00047,370,-0.926877669,-0.890855465,-0.926877669,-0.890855465,0.201080666,7.304248126052e-07,1.012883206197e-05
L00048,378,-0.926631877,-0.882536133,-0.926631877,-0.882536133,0.201322872,7.305520407390e-07,1.025095066472e-05
L00049,386,-0.926194709,-0.879334430,-0.926194709,-0.879334430,0.201405808,7.307783857254e-07,1.029833950124e-05
L00050,394,-0.926828205,-0.872468789,-0.926828205,-0.872468789,0.201630782,7.304504145106e-07,1.040069866075e-05
L00051,402,-0.929415809,-0.870281568,-0.929415809,-0.870281568,0.201774027,7.291122983574e-07,1.043352093397e-05
L00052,410,-0.930417508,-0.866681318,-0.930417508,-0.866681318,0.201912086,7.285949528477e-07,1.048777336457e-05
L00053,418,-0.931880214,-0.863269468,-0.931880214,-0.863269468,0.202058322,7.278401708778e-07,1.053944710639e-05
L00054,426,-0.928200235,-0.858493369,-0.928200235,-0.858493369,0.202091206,7.297405975128e-07,1.061221085049e-05
L00055,434,-0.925498716,-0.855453935,-0.925498716,-0.855453935,0.202101343,7.311388820939e-07,1.065877790216e-05
L00056,442,-0.922972865,-0.850161909,-0.922972865,-0.850161909,0.202184329,7.324486658472e-07,1.074034496069e-05
L00057,450,-0.920320574,-0.844292037,-0.920320574,-0.844292037,0.202280856,7.338265410370e-07,1.083154885091e-05
L00058,458,-0.918096275,-0.834509893,-0.918096275,-0.834509893,0.202507591,7.349840711731e-07,1.098526417281e-05
L00059,466,-0.913054225,-0.824181222,-0.913054225,-0.824181222,0.202666190,7.376147296900e-07,1.114993584834e-05
L00060,474,-0.908172510,-0.816042137,-0.908172510,-0.816042137,0.202763911,7.401707052388e-07,1.128143574699e-05
L00061,482,-0.899707354,-0.805338362,-0.899707354,-0.805338362,0.202831070,7.446239173574e-07,1.145673615290e-05
L00062,490,-0.890391347,-0.794306822,-0.890391347,-0.794306822,0.202882536,7.495557046639e-07,1.164025532423e-05
L00063,498,-0.875242872,-0.780420256,-0.875242872,-0.780420256,0.202844678,7.576449716171e-07,1.187545542571e-05
L00064,506,-0.863650259,-0.765774672,-0.863650259,-0.765774672,0.202936268,7.638943295315e-07,1.212866220033e-05
L00065,514,-0.848263133,-0.749892932,-0.848263133,-0.749892932,0.202951106,7.722689267225e-07,1.240934607785e-05
L00066,522,-0.835526289,-0.733236401,-0.835526289,-0.733236401,0.203068697,7.792704899933e-07,1.271070442770e-05
L00067,530,-0.820994565,-0.717676762,-0.820994565,-0.717676762,0.203099534,7.873362753307e-07,1.299882513127e-05
L00068,538,-0.805429353,-0.699526393,-0.805429353,-0.699526393,0.203177089,7.960683184285e-07,1.334318187427e-05
L00069,546,-0.789283211,-0.680501909,-0.789283211,-0.680501909,0.203263439,8.052286087820e-07,1.371391890538e-05
L00070,554,-0.772839449,-0.661945791,-0.772839449,-0.661945791,0.203326810,8.146660958049e-07,1.408545003321e-05
L00071,562,-0.756662399,-0.643242826,-0.756662399,-0.643242826,0.203402587,8.240584371162e-07,1.447010720403e-05
L00072,570,-0.735265611,-0.623359693,-0.735265611,-0.623359693,0.203357178,8.366478776689e-07,1.489056276255e-05
L00073,578,-0.716265341,-0.602229430,-0.716265341,-0.602229430,0.203421077,8.479883909125e-07,1.535078921160e-05
L00074,586,-0.697141470,-0.579740271,-0.697141470,-0.579740271,0.203522036,8.595579012882e-07,1.585624921801e-05
L00075,594,-0.680183541,-0.559574061,-0.680183541,-0.559574061,0.203618284,8.699490418550e-07,1.632363688775e-05
L00076,602,-0.662464093,-0.541278241,-0.662464093,-0.541278241,0.203635576,8.809410418281e-07,1.675958370684e-05
L00077,610,-0.645401379,-0.523354367,-0.645401379,-0.523354367,0.203661410,8.916568860409e-07,1.719795588175e-05
L00078,618,-0.628845643,-0.502110373,-0.628845643,-0.502110373,0.203802058,9.021789161113e-07,1.773240248369e-05
L00079,626,-0.613123027,-0.482884720,-0.613123027,-0.482884720,0.203907149,9.122863824955e-07,1.823037523820e-05
L00080,634,-0.600181642,-0.465683736,-0.600181642,-0.465683736,0.204034937,9.206908096651e-07,1.868774736236e-05
L00081,642,-0.587667580,-0.448806074,-0.587667580,-0.448806074,0.204165845,9.288913490143e-07,1.914767390754e-05
L00082,650,-0.574458119,-0.431004934,-0.574458119,-0.431004934,0.204303596,9.376268434248e-07,1.964503651246e-05
L00083,658,-0.563511128,-0.416622438,-0.563511128,-0.416622438,0.204406661,9.449283692420e-07,2.005630260722e-05
L00084,666,-0.554013884,-0.402603095,-0.554013884,-0.402603095,0.204542324,9.513089760282e-07,2.046546934218e-05
L00085,674,-0.542448393,-0.389432094,-0.542448393,-0.389432094,0.204590489,9.591373188518e-07,2.085747837392e-05
L00086,682,-0.530743863,-0.376718155,-0.530743863,-0.376718155,0.204620771,9.671253606325e-07,2.124300472063e-05
L00087,690,-0.521488606,-0.364886357,-0.521488606,-0.364886357,0.204698067,9.734889109276e-07,2.160818060446e-05
L00088,698,-0.514037801,-0.352534014,-0.514037801,-0.352534014,0.204845114,9.786421996712e-07,2.199612209335e-05
