system_id,ra_deg,dec_deg,snr,z,planck_name,mcxc_cross_id,act_cross_id,spt_cross_id,source
PSZ2 PSZ2 G227.44-31.24,79.1244928,-25.2855551,4.73415,-1.000000,PSZ2 G227.44-31.24,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G227.59+22.98,129.8603419,-1.6789274,4.59576,0.280850,PSZ2 G227.59+22.98,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G227.61+54.87,157.8479519,14.0765639,5.63651,0.318800,PSZ2 G227.61+54.87,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G227.61-84.72,18.6636788,-28.3464596,4.92633,-1.000000,PSZ2 G227.61-84.72,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G227.63-52.28,55.9169705,-29.9277014,4.58425,0.210900,PSZ2 G227.63-52.28,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G227.89+36.58,141.7153836,5.0097365,5.57671,0.461600,PSZ2 G227.89+36.58,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J1149.5+2224,177.4032172,22.4063378,11.41752,0.545000,PSZ2 G228.16+75.20,J1149.5+2224,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G228.29+55.08,158.2243156,13.8248864,5.75173,0.315200,PSZ2 G228.29+55.08,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J0358.9-2955,59.7057547,-29.9347065,7.56157,0.425000,PSZ2 G228.30-49.02,J0358.9-2955,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G228.35-66.31,39.6691528,-30.8391339,9.08268,-1.000000,PSZ2 G228.35-66.31,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G228.38+38.58,143.6418780,5.6835810,4.58413,0.543811,PSZ2 G228.38+38.58,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G228.50+34.95,140.5605656,3.7528931,6.69323,0.270100,PSZ2 G228.50+34.95,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J1123.2+1935,170.8007776,19.6118191,5.97469,0.104200,PSZ2 G228.62+68.44,J1123.2+1935,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J0616.3-2156,94.0896715,-21.9415702,9.64418,0.171000,PSZ2 G229.23-17.23,J0616.3-2156,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G229.37+49.70,153.7249807,10.6510792,4.90937,0.203292,PSZ2 G229.37+49.70,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G229.40-15.49,95.8813596,-21.4042162,4.66865,-1.000000,PSZ2 G229.40-15.49,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J1201.3+2306,180.3262067,23.0958122,12.01073,0.269000,PSZ2 G229.74+77.96,J1201.3+2306,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J0817.4-0730,124.3635295,-7.5065372,17.25681,0.070400,PSZ2 G229.93+15.30,J0817.4-0730,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
MCXC J0548.6-2527,87.1609192,-25.4832134,6.08370,0.042000,PSZ2 G230.28-24.42,J0548.6-2527,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
PSZ2 PSZ2 G230.28-28.57,82.7881382,-26.8247287,9.30188,-1.000000,PSZ2 G230.28-28.57,,,,Planck PSZ2 CDS J/A+A/594/A27 (psz2.dat)
